Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.0004,4.47E+09,4.985,5.948,5.656,5.829,5.655,5.254,5.037,4.48
0.0004,5.01E+09,5.088,6.076,5.772,5.957,5.778,5.365,5.143,4.576
0.0004,5.62E+09,5.186,6.205,5.887,6.082,5.896,5.471,5.244,4.665
0.0004,6.31E+09,5.274,6.331,5.999,6.2,6.007,5.568,5.335,4.744
0.0004,7.08E+09,5.367,6.46,6.114,6.319,6.12,5.67,5.431,4.83
0.0004,7.94E+09,5.467,6.596,6.238,6.443,6.238,5.778,5.534,4.924
0.0004,8.91E+09,5.569,6.73,6.36,6.564,6.355,5.886,5.639,5.02
0.0004,1.00E+10,5.663,6.857,6.478,6.677,6.464,5.987,5.736,5.109
0.0004,1.12E+10,5.76,6.976,6.59,6.781,6.567,6.086,5.834,5.204
0.0004,1.26E+10,5.822,7.068,6.68,6.841,6.628,6.148,5.896,5.265
