Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.0004,3.98E+06,-0.677,0.323,0.654,1.959,1.957,2.059,2.07,2.069
0.0004,4.47E+06,-0.647,0.3,0.634,1.99,2,2.146,2.184,2.28
0.0004,5.01E+06,-0.605,0.301,0.642,2.079,2.093,2.259,2.308,2.441
0.0004,5.62E+06,-0.552,0.316,0.657,2.102,2.116,2.285,2.335,2.474
0.0004,6.31E+06,-0.492,0.339,0.679,2.124,2.139,2.308,2.359,2.502
0.0004,7.08E+06,-0.42,0.373,0.713,2.153,2.167,2.336,2.387,2.531
0.0004,7.94E+06,-0.348,0.407,0.745,2.173,2.188,2.356,2.407,2.552
0.0004,8.91E+06,-0.271,0.446,0.781,2.193,2.208,2.373,2.423,2.566
0.0004,1.00E+07,-0.182,0.502,0.834,2.227,2.241,2.402,2.451,2.589
0.0004,1.12E+07,-0.097,0.56,0.89,2.265,2.28,2.439,2.487,2.622
0.0004,1.26E+07,-0.01,0.618,0.942,2.293,2.307,2.462,2.508,2.638
0.0004,1.41E+07,0.079,0.677,0.994,2.308,2.321,2.47,2.514,2.636
0.0004,1.58E+07,0.175,0.746,1.055,2.314,2.325,2.464,2.504,2.612
0.0004,1.78E+07,0.256,0.801,1.099,2.298,2.304,2.422,2.45,2.516
0.0004,2.00E+07,0.349,0.869,1.157,2.325,2.327,2.427,2.443,2.464
0.0004,2.24E+07,0.441,0.934,1.213,2.34,2.339,2.429,2.44,2.443
0.0004,2.51E+07,0.532,1,1.27,2.356,2.353,2.436,2.442,2.431
0.0004,2.82E+07,0.627,1.073,1.336,2.39,2.387,2.464,2.469,2.449
0.0004,3.16E+07,0.72,1.144,1.401,2.425,2.421,2.495,2.497,2.471
0.0004,3.55E+07,0.811,1.214,1.464,2.454,2.449,2.517,2.517,2.483
0.0004,3.98E+07,0.903,1.285,1.528,2.483,2.478,2.539,2.537,2.494
0.0004,4.47E+07,0.997,1.359,1.593,2.512,2.505,2.56,2.554,2.5
0.0004,5.01E+07,1.098,1.443,1.669,2.553,2.544,2.592,2.583,2.519
0.0004,5.62E+07,1.198,1.526,1.744,2.596,2.586,2.627,2.615,2.543
0.0004,6.31E+07,1.302,1.618,1.829,2.647,2.636,2.669,2.654,2.571
0.0004,7.08E+07,1.398,1.699,1.902,2.686,2.673,2.699,2.68,2.586
0.0004,7.94E+07,1.498,1.791,1.985,2.734,2.719,2.735,2.711,2.601
0.0004,8.91E+07,1.596,1.879,2.064,2.778,2.761,2.771,2.743,2.622
0.0004,1.00E+08,1.688,1.966,2.142,2.821,2.801,2.8,2.767,2.627
0.0004,1.12E+08,1.788,2.061,2.227,2.869,2.848,2.839,2.802,2.651
0.0004,1.26E+08,1.891,2.16,2.317,2.924,2.901,2.884,2.843,2.68
0.0004,1.41E+08,1.99,2.256,2.403,2.975,2.95,2.926,2.881,2.708
0.0004,1.58E+08,2.094,2.359,2.496,3.033,3.007,2.975,2.927,2.745
0.0004,1.78E+08,2.197,2.464,2.591,3.093,3.065,3.024,2.973,2.78
0.0004,2.00E+08,2.297,2.568,2.683,3.149,3.119,3.071,3.015,2.812
0.0004,2.24E+08,2.403,2.677,2.781,3.215,3.183,3.127,3.068,2.856
0.0004,2.51E+08,2.506,2.786,2.879,3.279,3.245,3.182,3.119,2.898
0.0004,2.82E+08,2.612,2.898,2.98,3.349,3.313,3.243,3.178,2.95
0.0004,3.16E+08,2.718,3.01,3.081,3.418,3.381,3.305,3.237,3.003
0.0004,3.55E+08,2.825,3.124,3.183,3.49,3.452,3.37,3.3,3.061
0.0004,3.98E+08,2.932,3.238,3.285,3.564,3.524,3.437,3.366,3.124
0.0004,4.47E+08,3.042,3.352,3.388,3.633,3.593,3.503,3.432,3.192
0.0004,5.01E+08,3.15,3.468,3.492,3.703,3.662,3.569,3.497,3.259
0.0004,5.62E+08,3.261,3.589,3.601,3.781,3.739,3.641,3.569,3.33
0.0004,6.31E+08,3.363,3.705,3.703,3.855,3.811,3.704,3.629,3.385
0.0004,7.08E+08,3.464,3.823,3.806,3.943,3.893,3.774,3.693,3.437
0.0004,7.94E+08,3.568,3.941,3.906,4.04,3.984,3.849,3.761,3.492
0.0004,8.91E+08,3.657,4.058,3.999,4.14,4.075,3.918,3.819,3.525
0.0004,1.00E+09,2.841,4.019,3.822,3.826,3.65,3.231,3.001,2.393
0.0004,1.12E+09,3.873,4.315,4.215,4.369,4.293,4.104,3.989,3.658
0.0004,1.26E+09,3.927,4.418,4.292,4.448,4.361,4.148,4.021,3.661
0.0004,1.41E+09,3.965,4.545,4.386,4.537,4.437,4.189,4.044,3.641
0.0004,1.58E+09,4.114,4.775,4.606,4.736,4.626,4.354,4.196,3.76
0.0004,1.78E+09,4.209,4.922,4.738,4.856,4.739,4.449,4.284,3.828
0.0004,2.00E+09,4.298,5.057,4.857,4.969,4.845,4.539,4.366,3.894
0.0004,2.24E+09,4.397,5.191,4.978,5.089,4.958,4.637,4.458,3.973
0.0004,2.51E+09,4.446,5.284,5.047,5.167,5.026,4.687,4.499,3.997
0.0004,2.82E+09,4.506,5.4,5.145,5.269,5.118,4.757,4.559,4.037
0.0004,3.16E+09,4.631,5.54,5.279,5.411,5.255,4.886,4.684,4.155
0.0004,3.55E+09,4.752,5.674,5.404,5.549,5.388,5.009,4.803,4.266
0.0004,3.98E+09,4.867,5.808,5.528,5.687,5.52,5.13,4.919,4.372
