F336 - 0.199,F439W - 0.162,F555W - 0.123,F814W - 0.069
21.085,20.416,23.067,21.567
21.095,23.213,21.318,20.482
21.103,22.327,23.982,22.882
21.111,22.751,23.137,22.924
21.116,20.394,24.042,20.708
21.118,21.197,22.221,21.826
21.124,19.884,20.139,22.786
21.132,22.283,22.3,21.695
21.142,20.353,22.891,22.093
21.149,23.471,23.839,22.239
21.151,22.178,22.026,19.872
21.159,21.952,21.725,21.508
21.171,22.498,21.57,21.228
21.173,23.051,21.925,23.038
21.178,22.062,23.615,21.168
21.179,20.121,21.61,21.209
21.183,22.954,23.14,21.704
21.193,22.845,22.348,19.154
21.194,21.82,22.817,20.888
21.194,21.494,23.378,22.426
21.202,19.908,22.428,22.285
21.202,22.941,21.053,19.856
21.203,20.07,21.163,21.164
21.205,22.141,22.94,21.145
21.215,20.191,20.25,23.213
21.231,19.091,21.106,19.244
21.239,21.41,24.025,22.616
21.243,19.99,21.978,20.902
21.245,19.89,21.765,22.366
21.253,20.528,23.239,22.916
21.254,23.972,21.009,19.899
21.256,21.583,23.788,21.413
21.259,22.555,22.29,22.828
21.266,20.904,21.597,23.311
21.269,24.183,24.145,23.793
21.274,22.203,23.969,22.174
21.275,22.394,22.755,21.757
21.282,21.684,21.206,22.311
21.285,22.231,23.32,23.721
21.286,21.04,22.585,23.854
21.29,22.064,20.525,22.79
21.291,22.466,22.334,22.873
21.291,18.272,22.777,22.159
21.294,21.792,22.124,22.974
21.299,21.427,23.077,23.418
21.299,22.185,22.897,22.139
21.302,23.527,22.166,21.351
21.304,22.444,23.175,24.422
21.304,22.365,21.602,20.774
21.305,20.641,22.433,21.484
21.312,22.219,23.868,21.772
21.319,21.593,22.317,20.96
21.32,21.5,20.019,21.379
21.326,21.846,20.683,21.179
21.334,20.736,22.883,22.198
21.34,22.209,21.578,20.138
21.351,21.965,22.44,21.333
21.352,22.014,21.992,20.923
21.357,21.737,22.786,21.885
21.359,23.335,21.978,21.657
21.364,22.71,20.841,22.152
21.375,24.01,21.302,20.785
21.377,22.271,19.402,24.354
21.397,22.447,21.738,21.729
21.403,20.506,23.706,22.657
21.412,22.854,22.2,21.87
21.415,22.745,21.859,21.204
21.419,22.428,23.531,22.277
21.42,21.983,21.112,21.019
21.421,19.876,23.278,22.768
21.428,23.649,18.384,22.335
21.431,23.409,22.365,23.146
21.441,21.15,22.349,21.411
21.451,21.999,24.257,20.196
21.467,20.813,23.646,22.029
21.476,23.095,21.793,23.975
21.478,22.008,22.218,20.202
21.478,22.792,22.602,21.742
21.483,21,22.597,21.534
21.485,21.863,20.395,22.575
21.486,21.02,20.534,21.144
21.488,21.991,23.277,18.652
21.491,22.504,22.595,21.062
21.495,23.252,21.616,20.537
21.506,21.459,24.067,19.338
21.507,19.778,24.833,20.575
21.509,21.734,22.089,21.894
21.511,22.326,21.898,21.843
21.523,21.219,21.318,19.365
21.526,21.17,22.936,19.014
21.534,20.002,21.702,21.736
21.538,22.501,23.085,22.062
21.54,23.874,18.51,21.616
21.547,22.117,21.366,22.779
21.549,22.84,22.048,23.547
21.551,22.912,20.565,21.993
21.553,20.275,21.957,21.596
21.556,22.592,22.843,20.763
21.567,23.459,22.109,22.472
21.568,21.487,20.281,22.75
21.569,22.238,22.094,22.099
21.571,21.864,21.876,20.95
21.58,21.849,22.239,21.303
21.582,22.315,20.728,20.583
21.585,24.111,22.409,22.257
21.586,19.078,23.739,22.038
21.588,22.365,20.222,19.995
21.595,20.279,22.096,21.124
21.596,23.242,24.327,18.949
21.596,23.02,23.571,22.305
21.597,23.522,23.105,18.625
21.598,20.034,23.832,23.618
