F336 - 0.199,F439W - 0.162,F555W - 0.123,F814W - 0.069
23.391,22.852,22.889,21.917
23.392,23.08,22.552,21.443
23.397,23.122,22.416,20.157
23.398,19.744,20.866,20.672
23.4,21.019,24.255,19.423
23.407,19.716,21.383,21.968
23.411,22.676,21.944,20.465
23.412,23.747,22.009,21.163
23.418,23.484,21.46,22.166
23.422,23.389,22.626,20.718
23.427,22.965,21.568,20.995
23.431,20.389,23.075,19.931
23.437,20.578,22.492,21.833
23.439,22.489,22.355,20.745
23.44,21.316,22.608,23.387
23.447,22.891,23.267,21.078
23.448,22.828,23.48,21.193
23.459,22.24,21.713,22.791
23.459,18.193,22.655,19.682
23.461,22.067,22.678,23.698
23.462,21.023,22.474,21.77
23.465,22.25,23.303,21.833
23.469,22.305,22.396,20.116
23.473,21.108,23.626,21.558
23.473,21.388,22.951,22.253
23.478,24.133,23.042,22.074
23.481,22.712,22.223,22.651
23.481,24.243,22.735,20.783
23.487,20.998,22.376,21.901
23.491,22.244,21.919,21.356
23.499,21.106,22.306,16.913
23.5,21.349,22.861,21.373
23.51,22.233,23.82,19.841
23.515,22.703,23.734,22.992
23.517,23.293,21,20.82
23.52,23.575,24.061,21.424
23.521,22.535,22.521,22.257
23.523,23.405,22.936,21.898
23.524,22.771,22.646,23.691
23.527,22.636,22.768,20.718
23.528,23.186,22.216,21.616
23.529,21.814,22.961,22.238
23.532,23.519,22.818,22.635
23.532,20.171,22.279,21.812
23.549,22.229,22.546,21.537
23.555,24.085,22.729,21.85
23.565,21.796,23.535,22.944
23.569,23.477,21.899,19.831
23.57,22.955,22.901,20.67
23.57,24.244,18.801,22.554
23.571,19.797,20.895,22.38
23.573,22.507,22.754,23.457
23.579,21.933,24.006,21.344
23.581,21.526,22.789,20.741
23.582,21.531,22.928,22.359
23.583,21.402,23.089,22.797
23.585,21.577,20.897,21.519
23.591,22.86,22.264,22.495
23.592,20.608,22.599,22.495
23.593,21.915,21.072,22.152
23.594,23.213,17.963,23.208
23.613,22.606,23.595,22.546
23.613,23.011,23.946,23.036
23.616,23.554,23.857,20.299
23.623,23.754,22.552,19.443
23.625,22.265,22.457,23.536
23.627,23.074,22.786,21.47
23.629,22.29,23.071,22.312
23.641,21.44,23.462,21.72
23.646,20.69,22.446,21.707
23.664,22.924,24.042,22.366
23.666,23.463,22.545,22.048
23.667,19.935,21.351,22.336
23.674,21.965,24.296,21.041
23.677,23.528,21.27,22.957
23.685,22.282,23.066,20.666
23.689,22.899,21.13,18.681
23.7,21.771,23.966,22.645
23.707,21.124,22.86,21.794
23.713,21.771,21.36,23.764
23.713,22.684,23.197,21.47
23.733,21.883,22.442,23.663
23.744,23.364,22.721,22.905
23.752,22.044,22.096,24.094
23.753,21.109,21.624,20.808
23.761,21.999,23.118,23.399
23.775,23.889,22.452,22.713
23.777,23.291,22.671,21.525
23.778,22.473,23.293,21.698
23.78,24.137,23.437,22.353
23.784,22.149,23.182,21.366
23.792,19.911,20.589,21.434
23.797,21.52,22.964,21.754
23.799,21.368,22.722,22.802
23.8,21.909,21.262,21.352
23.801,21.801,20.835,23.389
23.817,20.754,22.514,18.922
23.822,20.584,22.235,17.975
23.838,22.8,18.3,17.586
23.842,20.424,22.689,20.617
23.845,23.669,20.621,23.354
23.853,22.443,22.581,21.578
23.857,21.09,21.195,22.787
23.864,22.52,21.575,23.348
23.866,21.868,23.315,21.719
23.869,21.434,22.236,22.467
23.879,22.51,22.671,22.521
23.883,21.92,22.969,20.593
23.903,21.324,22.617,19.989
23.906,21.03,20.665,23.751
23.909,18.905,22.448,21.334
23.913,21.573,23.778,20.848
23.919,23.32,22.499,23.906
23.931,22.205,20.918,22.978
23.932,22.094,22.05,23.571
23.936,21.471,21.951,21.49
23.941,23.07,23.205,20.959
23.947,23.172,20.078,21.768
23.954,24.194,21.195,20.749
23.958,23.103,24.42,23.244
23.965,21.87,21.646,22.171
23.989,19.338,22.769,22.087
24.003,21.981,22.045,22.068
24.005,22.186,21.067,22.342
24.005,23.146,23.324,22.89
24.028,23.35,22.322,22.867
24.038,23.027,23.486,20.723
24.045,22.738,19.955,23.265
24.053,22.963,21.597,22.66
24.068,20.346,20.897,21.16
24.124,21.297,24.107,22.407
24.126,21.955,21.174,21.454
24.127,22.083,21.112,22.493
24.132,20.832,22.984,21.453
24.138,22.693,23.137,22.894
24.155,20.188,22.78,20.863
24.158,20.07,21.862,20.574
24.163,21.873,23.762,21.98
24.176,20.736,21.657,20.079
24.215,21.877,21.927,22.773
24.251,19.029,22.054,22.766
24.252,19.524,23.014,19.694
24.267,20.992,23.164,22.511
24.271,18.603,22.916,21.212
24.287,21.975,23.484,23.027
24.319,23.208,22.029,22.662
24.331,22.748,20.835,22.732
24.391,20.417,22.984,21.506
24.424,22.507,20.953,21.64
24.424,22.475,23.881,21.857
24.436,20.792,20.723,22.061
24.459,22.148,22.514,22.064
24.579,20.677,21.982,22.544
24.597,22.87,23.732,23.174
