Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.002,3.98E+06,-0.653,0.288,0.599,1.731,1.679,1.61,1.532,1.278
0.002,4.47E+06,-0.621,0.244,0.546,1.616,1.583,1.579,1.539,1.393
0.002,5.01E+06,-0.578,0.194,0.5,1.662,1.651,1.719,1.716,1.677
0.002,5.62E+06,-0.525,0.179,0.488,1.727,1.727,1.835,1.854,1.889
0.002,6.31E+06,-0.465,0.191,0.499,1.755,1.759,1.881,1.908,1.97
0.002,7.08E+06,-0.392,0.23,0.546,1.876,1.886,2.034,2.076,2.188
0.002,7.94E+06,-0.319,0.266,0.58,1.911,1.921,2.072,2.114,2.232
0.002,8.91E+06,-0.24,0.309,0.616,1.903,1.912,2.053,2.092,2.196
0.002,1.00E+07,-0.151,0.376,0.675,1.917,1.923,2.052,2.083,2.155
0.002,1.12E+07,-0.062,0.443,0.737,1.94,1.947,2.073,2.104,2.182
0.002,1.26E+07,0.027,0.521,0.809,1.993,1.993,2.089,2.098,2.078
0.002,1.41E+07,0.121,0.611,0.899,2.09,2.087,2.168,2.164,2.093
0.002,1.58E+07,0.22,0.703,0.99,2.182,2.177,2.243,2.229,2.114
0.002,1.78E+07,0.306,0.774,1.053,2.206,2.195,2.239,2.21,2.045
0.002,2.00E+07,0.402,0.856,1.123,2.219,2.203,2.227,2.189,1.998
0.002,2.24E+07,0.498,0.944,1.196,2.202,2.181,2.188,2.14,1.927
0.002,2.51E+07,0.591,1.037,1.279,2.203,2.178,2.167,2.111,1.876
0.002,2.82E+07,0.686,1.124,1.359,2.227,2.201,2.183,2.126,1.889
0.002,3.16E+07,0.785,1.208,1.435,2.264,2.237,2.219,2.164,1.935
0.002,3.55E+07,0.878,1.285,1.504,2.292,2.265,2.242,2.187,1.959
0.002,3.98E+07,0.978,1.371,1.583,2.341,2.314,2.289,2.235,2.013
0.002,4.47E+07,1.073,1.458,1.661,2.381,2.351,2.319,2.262,2.034
0.002,5.01E+07,1.176,1.551,1.746,2.439,2.409,2.372,2.313,2.084
0.002,5.62E+07,1.272,1.638,1.824,2.485,2.453,2.409,2.347,2.113
0.002,6.31E+07,1.373,1.73,1.908,2.547,2.513,2.462,2.398,2.158
0.002,7.08E+07,1.475,1.827,1.996,2.619,2.582,2.519,2.45,2.197
0.002,7.94E+07,1.576,1.921,2.081,2.691,2.651,2.577,2.504,2.241
0.002,8.91E+07,1.674,2.014,2.164,2.757,2.714,2.631,2.553,2.279
0.002,1.00E+08,1.771,2.108,2.247,2.826,2.779,2.685,2.601,2.314
0.002,1.12E+08,1.877,2.207,2.337,2.911,2.861,2.757,2.669,2.373
0.002,1.26E+08,1.979,2.304,2.423,2.982,2.93,2.819,2.728,2.425
0.002,1.41E+08,2.082,2.401,2.509,3.041,2.989,2.877,2.786,2.484
0.002,1.58E+08,2.185,2.501,2.598,3.107,3.054,2.94,2.848,2.545
0.002,1.78E+08,2.289,2.599,2.686,3.159,3.109,2.998,2.909,2.614
0.002,2.00E+08,2.391,2.697,2.774,3.209,3.162,3.055,2.97,2.682
0.002,2.24E+08,2.493,2.797,2.863,3.262,3.215,3.11,3.027,2.746
0.002,2.51E+08,2.595,2.903,2.957,3.32,3.273,3.167,3.083,2.805
