Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.002,2.82E+08,2.701,3.015,3.055,3.389,3.34,3.229,3.145,2.866
0.002,3.16E+08,2.804,3.13,3.155,3.469,3.417,3.295,3.206,2.919
0.002,3.55E+08,2.908,3.248,3.257,3.547,3.492,3.361,3.268,2.974
0.002,3.98E+08,3.015,3.374,3.365,3.638,3.578,3.435,3.337,3.031
0.002,4.47E+08,3.123,3.504,3.474,3.736,3.672,3.516,3.411,3.09
0.002,5.01E+08,3.233,3.64,3.592,3.828,3.76,3.595,3.486,3.156
0.002,5.62E+08,3.345,3.78,3.714,3.923,3.852,3.677,3.565,3.226
0.002,6.31E+08,3.459,3.92,3.839,4.019,3.947,3.765,3.65,3.306
0.002,7.08E+08,3.573,4.058,3.959,4.113,4.038,3.848,3.731,3.384
0.002,7.94E+08,3.672,4.197,4.076,4.206,4.126,3.923,3.801,3.443
0.002,8.91E+08,3.797,4.343,4.205,4.315,4.233,4.023,3.899,3.539
0.002,1.00E+09,3.904,4.483,4.325,4.418,4.331,4.11,3.981,3.613
0.002,1.12E+09,4.016,4.624,4.447,4.529,4.438,4.204,4.072,3.695
0.002,1.26E+09,4.112,4.759,4.559,4.637,4.538,4.289,4.15,3.76
0.002,1.41E+09,4.167,4.889,4.663,4.735,4.624,4.347,4.194,3.774
0.002,1.58E+09,4.025,4.948,4.669,4.728,4.587,4.245,4.061,3.569
0.002,1.78E+09,4.314,5.247,4.997,5.045,4.905,4.561,4.374,3.868
0.002,2.00E+09,4.393,5.387,5.118,5.178,5.027,4.658,4.459,3.928
0.002,2.24E+09,4.485,5.533,5.246,5.321,5.158,4.766,4.556,4.004
0.002,2.51E+09,4.558,5.668,5.352,5.445,5.269,4.853,4.633,4.06
0.002,2.82E+09,4.581,5.796,5.441,5.541,5.348,4.899,4.664,4.062
0.002,3.16E+09,4.681,5.929,5.564,5.668,5.47,5.011,4.771,4.158
0.002,3.55E+09,4.808,6.083,5.708,5.821,5.618,5.149,4.904,4.281
0.002,3.98E+09,4.923,6.224,5.837,5.957,5.749,5.272,5.023,4.392
0.002,4.47E+09,5.055,6.37,5.973,6.102,5.891,5.407,5.155,4.52
0.002,5.01E+09,5.174,6.515,6.107,6.241,6.025,5.533,5.278,4.635
0.002,5.62E+09,5.254,6.643,6.219,6.35,6.128,5.624,5.364,4.71
0.002,6.31E+09,5.348,6.78,6.342,6.47,6.242,5.727,5.462,4.799
0.002,7.08E+09,5.444,6.92,6.468,6.592,6.359,5.833,5.564,4.892
0.002,7.94E+09,5.543,7.062,6.595,6.714,6.477,5.942,5.669,4.988
0.002,8.91E+09,5.64,7.203,6.722,6.834,6.592,6.048,5.771,5.081
0.002,1.00E+10,5.735,7.346,6.851,6.956,6.709,6.155,5.873,5.175
0.002,1.12E+10,5.816,7.476,6.965,7.062,6.81,6.246,5.961,5.253
0.002,1.26E+10,5.907,7.61,7.085,7.174,6.918,6.346,6.057,5.342
