Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.04,3.98E+06,-0.52,-0.081,0.233,1.655,1.665,1.828,1.878,2.021
0.04,4.47E+06,-0.47,-0.059,0.248,1.638,1.644,1.793,1.835,1.954
0.04,5.01E+06,-0.409,-0.018,0.273,1.571,1.573,1.704,1.736,1.82
0.04,5.62E+06,-0.337,0.02,0.315,1.647,1.651,1.784,1.816,1.879
0.04,6.31E+06,-0.273,0.045,0.316,1.46,1.437,1.465,1.437,1.276
0.04,7.08E+06,-0.185,0.209,0.502,1.833,1.84,1.972,1.994,1.627
0.04,7.94E+06,-0.089,0.293,0.581,1.886,1.892,2.019,2.038,1.624
0.04,8.91E+06,0.016,0.377,0.658,1.939,1.945,2.068,2.086,1.657
0.04,1.00E+07,0.123,0.463,0.738,1.991,1.995,2.111,2.126,1.651
0.04,1.12E+07,0.234,0.544,0.811,2.035,2.039,2.147,2.16,1.669
0.04,1.26E+07,0.342,0.631,0.89,2.084,2.086,2.185,2.194,1.677
0.04,1.41E+07,0.449,0.715,0.967,2.129,2.128,2.215,2.218,1.683
0.04,1.58E+07,0.563,0.809,1.053,2.18,2.177,2.247,2.243,1.705
0.04,1.78E+07,0.679,0.899,1.134,2.227,2.223,2.283,2.273,1.762
0.04,2.00E+07,0.789,0.987,1.214,2.273,2.268,2.32,2.305,1.818
0.04,2.24E+07,0.9,1.078,1.296,2.321,2.315,2.359,2.339,1.873
0.04,2.51E+07,1.008,1.171,1.379,2.369,2.362,2.397,2.372,1.921
0.04,2.82E+07,1.12,1.264,1.461,2.416,2.408,2.439,2.411,1.988
0.04,3.16E+07,1.224,1.36,1.546,2.465,2.454,2.473,2.439,2.022
0.04,3.55E+07,1.333,1.456,1.631,2.513,2.501,2.513,2.474,2.077
0.04,3.98E+07,1.44,1.554,1.717,2.561,2.548,2.552,2.51,2.129
0.04,4.47E+07,1.549,1.658,1.808,2.613,2.598,2.595,2.55,2.182
0.04,5.01E+07,1.66,1.76,1.898,2.663,2.649,2.642,2.595,2.25
0.04,5.62E+07,1.766,1.869,1.993,2.717,2.701,2.687,2.637,2.3
0.04,6.31E+07,1.873,1.979,2.089,2.772,2.755,2.737,2.686,2.364
0.04,7.08E+07,1.98,2.093,2.19,2.828,2.81,2.787,2.734,2.422
0.04,7.94E+07,2.085,2.21,2.293,2.884,2.864,2.834,2.778,2.473
0.04,8.91E+07,2.191,2.332,2.4,2.942,2.921,2.886,2.829,2.528
0.04,1.00E+08,2.298,2.459,2.512,3.002,2.98,2.938,2.88,2.582
0.04,1.12E+08,2.404,2.591,2.63,3.065,3.041,2.993,2.933,2.639
0.04,1.26E+08,2.512,2.729,2.754,3.131,3.105,3.051,2.99,2.699
0.04,1.41E+08,2.616,2.871,2.881,3.198,3.171,3.109,3.046,2.754
0.04,1.58E+08,2.723,3.018,3.013,3.269,3.239,3.169,3.104,2.813
0.04,1.78E+08,2.83,3.169,3.148,3.343,3.311,3.233,3.166,2.874
0.04,2.00E+08,2.937,3.324,3.285,3.421,3.387,3.3,3.229,2.936
0.04,2.24E+08,3.045,3.48,3.422,3.502,3.465,3.368,3.295,2.999
0.04,2.51E+08,3.152,3.637,3.557,3.588,3.547,3.437,3.36,3.06
0.04,2.82E+08,3.256,3.799,3.695,3.679,3.634,3.508,3.425,3.116
0.04,3.16E+08,3.362,3.969,3.838,3.779,3.728,3.584,3.495,3.177
0.04,3.55E+08,3.465,4.145,3.985,3.888,3.83,3.666,3.569,3.237
0.04,3.98E+08,3.576,4.325,4.134,4.008,3.943,3.757,3.652,3.306
0.04,4.47E+08,3.689,4.507,4.284,4.138,4.062,3.852,3.737,3.375
0.04,5.01E+08,3.792,4.687,4.431,4.278,4.19,3.95,3.822,3.436
0.04,5.62E+08,3.901,4.865,4.577,4.43,4.328,4.057,3.917,3.507
0.04,6.31E+08,4.013,5.044,4.723,4.589,4.471,4.168,4.014,3.582
0.04,7.08E+08,4.113,5.227,4.873,4.751,4.616,4.278,4.109,3.648
0.04,7.94E+08,4.204,5.415,5.028,4.914,4.762,4.39,4.205,3.713
0.04,8.91E+08,4.297,5.605,5.187,5.078,4.91,4.507,4.308,3.79
0.04,1.00E+09,4.392,5.8,5.352,5.242,5.057,4.623,4.412,3.87
0.04,1.12E+09,4.484,5.993,5.518,5.399,5.198,4.733,4.509,3.941
0.04,1.26E+09,4.583,6.184,5.685,5.553,5.337,4.847,4.612,4.026
0.04,1.41E+09,4.631,6.373,5.851,5.697,5.466,4.945,4.698,4.075
0.04,1.58E+09,4.684,6.563,6.019,5.841,5.594,5.043,4.784,4.132
0.04,1.78E+09,4.669,6.747,6.179,5.957,5.689,5.098,4.823,4.11
0.04,2.00E+09,4.794,6.97,6.388,6.155,5.879,5.271,4.99,4.229
0.04,2.24E+09,4.936,7.199,6.595,6.35,6.067,5.448,5.162,4.379
0.04,2.51E+09,5.039,7.423,6.793,6.521,6.227,5.591,5.298,4.493
0.04,2.82E+09,5.124,7.65,6.994,6.689,6.384,5.729,5.429,4.599
0.04,3.16E+09,5.202,7.869,7.195,6.852,6.537,5.863,5.555,4.699
0.04,3.55E+09,5.323,8.091,7.402,7.027,6.704,6.016,5.704,4.834
0.04,3.98E+09,5.224,8.293,7.583,7.112,6.765,6.031,5.701,4.769
0.04,4.47E+09,5.348,8.499,7.778,7.273,6.92,6.174,5.839,4.902
0.04,5.01E+09,5.514,8.645,7.923,7.423,7.072,6.332,5.998,5.071
0.04,5.62E+09,5.69,8.776,8.052,7.561,7.213,6.479,6.149,5.238
0.04,6.31E+09,5.73,8.938,8.201,7.667,7.311,6.56,6.223,5.291
0.04,7.08E+09,5.787,9.121,8.371,7.789,7.423,6.655,6.311,5.36
0.04,7.94E+09,5.905,9.319,8.563,7.96,7.59,6.814,6.467,5.494
0.04,8.91E+09,6.098,9.496,8.731,8.113,7.742,6.965,6.618,5.664
0.04,1.00E+10,6.142,9.667,8.89,8.224,7.845,7.053,6.7,5.724
0.04,1.12E+10,6.22,9.854,9.064,8.353,7.966,7.159,6.8,5.809
0.04,1.26E+10,6.288,10.039,9.238,8.479,8.085,7.263,6.899,5.89
