Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.0001,5.00E+09,5.068,5.876,5.633,5.826,5.673,5.313,5.111,4.588
0.0002,5.00E+09,5.071,5.956,5.685,5.878,5.712,5.328,5.117,4.574
0.0003,5.00E+09,5.077,6.023,5.732,5.921,5.746,5.345,5.128,4.57
0.0004,5.00E+09,5.087,6.074,5.769,5.955,5.775,5.363,5.141,4.574
0.0005,5.00E+09,5.089,6.114,5.799,5.98,5.796,5.374,5.148,4.572
0.0006,5.00E+09,5.098,6.156,5.83,6.008,5.82,5.39,5.161,4.577
0.0007,5.00E+09,5.1,6.191,5.855,6.03,5.838,5.4,5.167,4.576
0.0008,5.00E+09,5.102,6.222,5.878,6.049,5.854,5.409,5.174,4.576
0.0009,5.00E+09,5.099,6.246,5.894,6.062,5.864,5.413,5.175,4.572
0.001,5.00E+09,5.106,6.274,5.915,6.081,5.881,5.425,5.185,4.577
0.0011,5.00E+09,5.114,6.305,5.94,6.101,5.899,5.438,5.196,4.583
0.0012,5.00E+09,5.123,6.334,5.962,6.12,5.916,5.451,5.207,4.591
0.0013,5.00E+09,5.131,6.361,5.984,6.138,5.932,5.463,5.218,4.598
0.0014,5.00E+09,5.137,6.386,6.004,6.154,5.947,5.474,5.227,4.603
0.0015,5.00E+09,5.144,6.409,6.023,6.17,5.961,5.485,5.236,4.609
0.0016,5.00E+09,5.151,6.432,6.041,6.185,5.975,5.495,5.245,4.615
0.0017,5.00E+09,5.155,6.453,6.058,6.199,5.987,5.504,5.252,4.618
0.0018,5.00E+09,5.161,6.474,6.074,6.213,5.999,5.513,5.26,4.624
0.0019,5.00E+09,5.165,6.494,6.09,6.226,6.011,5.521,5.267,4.627
0.002,5.00E+09,5.172,6.513,6.105,6.238,6.023,5.53,5.276,4.633
0.0021,5.00E+09,5.177,6.534,6.122,6.251,6.034,5.539,5.282,4.637
0.0022,5.00E+09,5.179,6.554,6.138,6.262,6.044,5.545,5.287,4.639
