Z,Age,mbol,F170W,F218W,F255W,F300W,F336W,F380W,F439W,F450W,F555W,F569W,F606W,F622W,F675W,F702W,F791W,F814W,F850LP
0.004,2.82E+08,2.777,2.972,3.046,3.092,3.11,3.122,3.427,3.461,3.404,3.267,3.23,3.169,3.123,3.033,3.008,2.859,2.852,2.748
0.004,3.16E+08,2.886,3.144,3.206,3.241,3.242,3.241,3.518,3.545,3.486,3.342,3.304,3.242,3.194,3.103,3.076,2.925,2.918,2.811
0.004,3.55E+08,2.997,3.323,3.372,3.394,3.378,3.363,3.61,3.629,3.569,3.42,3.38,3.317,3.269,3.176,3.149,2.995,2.988,2.879
0.004,3.98E+08,3.108,3.51,3.543,3.55,3.514,3.483,3.7,3.711,3.649,3.494,3.454,3.391,3.342,3.248,3.221,3.067,3.06,2.951
0.004,4.47E+08,3.225,3.707,3.722,3.713,3.654,3.608,3.794,3.797,3.734,3.574,3.533,3.47,3.42,3.326,3.299,3.146,3.139,3.03
0.004,5.01E+08,3.338,3.916,3.909,3.882,3.798,3.734,3.89,3.885,3.819,3.653,3.611,3.546,3.495,3.4,3.374,3.219,3.212,3.104
0.004,5.62E+08,3.453,4.135,4.101,4.055,3.945,3.862,3.993,3.979,3.911,3.736,3.693,3.627,3.576,3.479,3.452,3.297,3.29,3.181
0.004,6.31E+08,3.567,4.364,4.298,4.231,4.092,3.99,4.099,4.075,4.005,3.821,3.776,3.709,3.656,3.558,3.531,3.374,3.366,3.257
0.004,7.08E+08,3.676,4.608,4.5,4.41,4.237,4.114,4.205,4.173,4.098,3.903,3.856,3.787,3.732,3.631,3.604,3.445,3.438,3.329
0.004,7.94E+08,3.78,4.868,4.709,4.593,4.384,4.237,4.316,4.275,4.195,3.985,3.935,3.863,3.806,3.701,3.673,3.51,3.503,3.392
0.004,8.91E+08,3.894,5.146,4.921,4.777,4.531,4.362,4.434,4.386,4.301,4.077,4.025,3.951,3.892,3.784,3.756,3.591,3.583,3.472
0.004,1.00E+09,3.999,5.438,5.141,4.963,4.673,4.478,4.55,4.497,4.404,4.163,4.108,4.03,3.968,3.857,3.828,3.66,3.653,3.542
0.004,1.12E+09,4.106,5.742,5.363,5.153,4.821,4.605,4.681,4.623,4.521,4.262,4.203,4.121,4.056,3.94,3.91,3.736,3.729,3.616
0.004,1.26E+09,4.181,6.045,5.59,5.34,4.959,4.716,4.804,4.741,4.627,4.342,4.278,4.189,4.119,3.994,3.962,3.778,3.77,3.651
0.004,1.41E+09,4.132,6.325,5.823,5.527,5.08,4.799,4.894,4.817,4.676,4.335,4.261,4.154,4.073,3.929,3.892,3.682,3.673,3.533
0.004,1.58E+09,4.322,6.639,6.073,5.757,5.313,5.04,5.139,5.062,4.916,4.559,4.481,4.368,4.283,4.132,4.092,3.871,3.86,3.71
0.004,1.78E+09,4.374,6.914,6.327,5.964,5.466,5.167,5.283,5.199,5.038,4.646,4.562,4.439,4.347,4.184,4.141,3.903,3.892,3.73
0.004,2.00E+09,4.456,7.186,6.589,6.176,5.623,5.301,5.435,5.347,5.173,4.755,4.667,4.534,4.438,4.266,4.22,3.971,3.959,3.789
0.004,2.24E+09,4.561,7.47,6.871,6.402,5.79,5.444,5.598,5.507,5.322,4.882,4.789,4.651,4.551,4.372,4.324,4.066,4.053,3.877
0.004,2.51E+09,4.608,7.732,7.183,6.646,5.947,5.565,5.731,5.63,5.428,4.955,4.857,4.71,4.605,4.417,4.366,4.097,4.084,3.899
0.004,2.82E+09,4.66,7.961,7.486,6.889,6.113,5.698,5.869,5.755,5.538,5.035,4.933,4.777,4.668,4.472,4.418,4.138,4.124,3.931
0.004,3.16E+09,4.791,8.104,7.633,7.027,6.244,5.827,6.002,5.889,5.671,5.168,5.066,4.91,4.801,4.604,4.551,4.27,4.255,4.062
0.004,3.55E+09,4.866,8.289,7.869,7.218,6.387,5.951,6.129,6.009,5.783,5.263,5.158,4.997,4.886,4.684,4.629,4.341,4.326,4.127
0.004,3.98E+09,4.989,8.473,8.078,7.395,6.534,6.09,6.273,6.152,5.922,5.395,5.289,5.127,5.014,4.811,4.754,4.463,4.448,4.247
0.004,4.47E+09,5.119,8.659,8.298,7.577,6.683,6.228,6.416,6.292,6.06,5.528,5.421,5.258,5.144,4.94,4.883,4.59,4.575,4.373
0.004,5.01E+09,5.228,8.833,8.522,7.762,6.829,6.36,6.551,6.423,6.185,5.645,5.537,5.371,5.257,5.05,4.992,4.696,4.68,4.476
0.004,5.62E+09,5.323,8.994,8.75,7.948,6.973,6.489,6.681,6.546,6.303,5.752,5.643,5.474,5.358,5.148,5.09,4.788,4.772,4.565
0.004,6.31E+09,5.417,9.152,8.983,8.137,7.119,6.62,6.811,6.67,6.422,5.86,5.749,5.578,5.461,5.248,5.188,4.881,4.865,4.654
0.004,7.08E+09,5.515,9.305,9.224,8.332,7.266,6.752,6.942,6.794,6.54,5.967,5.855,5.681,5.563,5.348,5.286,4.976,4.96,4.746
0.004,7.94E+09,5.607,9.449,9.469,8.529,7.41,6.878,7.067,6.912,6.653,6.07,5.957,5.781,5.661,5.443,5.381,5.066,5.049,4.833
0.004,8.91E+09,5.697,9.587,9.718,8.729,7.556,7.007,7.194,7.031,6.766,6.174,6.059,5.88,5.759,5.538,5.474,5.155,5.138,4.918
0.004,1.00E+10,5.794,9.726,9.974,8.934,7.707,7.14,7.325,7.154,6.884,6.282,6.167,5.985,5.862,5.639,5.574,5.251,5.233,5.01
0.004,1.12E+10,5.882,9.857,10.235,9.139,7.857,7.273,7.454,7.274,6.999,6.386,6.269,6.085,5.961,5.735,5.668,5.339,5.321,5.094
0.004,1.26E+10,5.956,9.969,10.493,9.331,7.992,7.391,7.563,7.375,7.095,6.473,6.354,6.168,6.042,5.814,5.745,5.412,5.394,5.163
