1,23.84
2,23.686
4,22.191
5,22.206
7,23.648
10,23.234
11,23.312
12,23.013
13,22.404
17,22.003
18,23.79
20,23.605
22,22.951
26,22.952
29,23.57
30,23.408
31,24.212
33,23.195
34,24.044
37,24.166
41,20.932
43,23.862
47,22.309
50,23.215
51,23.107
52,22.801
54,22.313
55,20.265
58,22.938
60,21.702
61,21.919
62,21.421
67,22.564
70,24.056
74,23.376
79,23.167
82,23.845
88,22.162
89,23.272
91,22.058
92,22.059
101,23.451
102,23.211
106,21.076
115,23.535
123,21.891
124,23.292
128,22.731
133,22.371
137,22.076
141,22.978
144,23.51
152,22.008
154,23.397
155,22.633
157,22.645
160,23.566
164,22.497
166,21.777
167,23.047
171,20.058
172,21.903
173,24.165
178,21.885
180,21.931
182,22.6
183,22.233
188,22.587
193,22.804
198,22.38
199,21.97
204,23.196
207,23.236
209,22.405
210,21.481
221,23.76
236,22.387
242,19.865
252,21.688
255,21.461
264,23.455
266,20.156
275,23.211
289,23.767
301,22.985
302,23.002
307,21.019
312,20.773
319,21.481
328,21.152
331,16.982
369,23.079
372,20.96
376,22.772
377,23.043
386,22.093
387,23.061
389,19.005
390,22.529
394,19.941
396,22.154
398,23.272
410,22.753
417,22.294
419,20.171
427,19.473
433,20.387
435,20.357
440,23.282
441,20.556
448,20.925
452,20.089
454,20.755
459,19.912
502,23.65
504,18.044
510,22.322
512,21.42
517,23.621
521,22.228
523,23.616
531,23.729
532,22.827
543,23.035
545,21.482
566,23.785
570,22.492
580,23.486
583,21.956
584,20.992
587,22.862
588,22.382
589,21.895
590,20.832
608,21.622
614,20.898
621,21.038
630,21.232
641,20.644
642,22.621
643,21.457
652,22.715
663,22.198
673,22.897
679,23.728
681,21.569
694,22.517
697,21.738
699,21.966
700,22.496
705,22.005
706,22.422
707,21.413
708,22.221
714,24.276
724,23.247
726,22.251
729,23.047
736,21.281
737,18.907
738,20.252
752,19.274
753,19.219
754,21.297
759,21.963
761,21.274
762,22.307
764,20.735
767,23.442
769,20.241
774,22.098
777,22.034
779,22.037
783,22.838
785,20.589
790,21.248
797,21.714
800,21.958
801,24.288
805,24.399
812,21.144
817,22.932
819,21.936
820,21.572
827,21.881
833,22.164
840,21.902
846,23.769
851,18.522
852,24.106
862,22.031
866,21.512
870,21.504
881,22.378
882,23.787
884,21.837
889,21.049
891,22.376
893,20.47
894,21.382
898,21.235
902,22.062
904,21.147
906,20.368
908,18.759
912,20.979
913,23.295
914,20.913
916,23.105
925,22.986
927,20.792
928,23.088
930,21.933
936,21.685
942,21.48
944,19.423
945,21.002
961,23.46
965,21.475
966,22.164
972,22.061
973,22.98
974,22.411
976,23.526
984,23.913
986,21.967
988,23.843
989,22.222
990,21.594
991,22.83
993,22.235
996,20.064
999,23.481
1002,21.389
1008,22.099
1010,23.409
1012,23.334
1015,23.85
1016,23.498
1017,22.397
1018,21.607
1021,22.491
1022,23.572
1024,21.627
1029,22.92
1033,20.648
1039,24.054
1041,21.862
1043,21.985
1044,21.575
1046,21.635
1047,21.606
1053,23.692
1060,22.28
1065,22.381
1066,22.305
1070,22.613
1072,21.061
1075,22.243
