Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.0001,5.00E+07,1.084,1.48,1.735,2.734,2.739,2.836,2.857,2.902
0.0002,5.00E+07,1.09,1.468,1.711,2.657,2.657,2.732,2.741,2.738
0.0003,5.00E+07,1.084,1.439,1.672,2.582,2.576,2.636,2.634,2.595
0.0004,5.00E+07,1.096,1.441,1.667,2.552,2.543,2.591,2.583,2.519
0.0005,5.00E+07,1.106,1.444,1.666,2.534,2.524,2.564,2.551,2.472
0.0006,5.00E+07,1.105,1.44,1.657,2.502,2.489,2.52,2.501,2.405
0.0007,5.00E+07,1.109,1.443,1.657,2.484,2.468,2.493,2.469,2.357
0.0008,5.00E+07,1.114,1.449,1.658,2.469,2.452,2.469,2.443,2.318
0.0009,5.00E+07,1.122,1.457,1.664,2.462,2.443,2.456,2.425,2.29
0.001,5.00E+07,1.13,1.467,1.673,2.46,2.441,2.448,2.416,2.272
0.0011,5.00E+07,1.122,1.463,1.665,2.43,2.408,2.408,2.371,2.211
0.0012,5.00E+07,1.108,1.454,1.652,2.388,2.364,2.357,2.315,2.144
0.0013,5.00E+07,1.096,1.455,1.649,2.362,2.335,2.314,2.264,2.066
0.0014,5.00E+07,1.088,1.454,1.647,2.347,2.318,2.29,2.236,2.027
0.0015,5.00E+07,1.082,1.455,1.647,2.336,2.305,2.271,2.214,1.994
0.0016,5.00E+07,1.081,1.459,1.649,2.329,2.297,2.259,2.2,1.973
0.0017,5.00E+07,1.09,1.472,1.663,2.342,2.309,2.268,2.207,1.974
0.0018,5.00E+07,1.109,1.491,1.683,2.364,2.332,2.291,2.23,1.995
0.0019,5.00E+07,1.136,1.516,1.71,2.396,2.365,2.325,2.264,2.031
0.002,5.00E+07,1.174,1.549,1.745,2.438,2.407,2.37,2.312,2.083
0.0021,5.00E+07,1.181,1.555,1.751,2.448,2.417,2.378,2.318,2.085
0.0022,5.00E+07,1.187,1.561,1.757,2.455,2.424,2.382,2.32,2.082
0.0023,5.00E+07,1.193,1.567,1.762,2.463,2.431,2.386,2.322,2.079
0.0024,5.00E+07,1.198,1.572,1.767,2.47,2.437,2.39,2.325,2.076
0.0025,5.00E+07,1.203,1.576,1.772,2.478,2.444,2.394,2.327,2.073
0.0026,5.00E+07,1.207,1.581,1.776,2.485,2.451,2.398,2.33,2.07
0.0027,5.00E+07,1.211,1.584,1.779,2.493,2.458,2.402,2.332,2.068
0.0028,5.00E+07,1.215,1.588,1.783,2.5,2.464,2.407,2.335,2.066
0.0029,5.00E+07,1.219,1.591,1.786,2.507,2.471,2.411,2.338,2.064
0.003,5.00E+07,1.223,1.594,1.789,2.514,2.477,2.415,2.34,2.063
0.0031,5.00E+07,1.226,1.596,1.791,2.52,2.483,2.419,2.343,2.061
0.0032,5.00E+07,1.23,1.598,1.793,2.526,2.489,2.423,2.346,2.06
0.0033,5.00E+07,1.233,1.6,1.795,2.532,2.494,2.427,2.348,2.06
0.0034,5.00E+07,1.236,1.602,1.797,2.538,2.5,2.431,2.351,2.059
0.0035,5.00E+07,1.239,1.604,1.799,2.544,2.505,2.434,2.354,2.058
0.0036,5.00E+07,1.241,1.605,1.8,2.549,2.51,2.438,2.356,2.058
0.0037,5.00E+07,1.244,1.606,1.801,2.554,2.515,2.442,2.359,2.057
0.0038,5.00E+07,1.246,1.607,1.802,2.559,2.519,2.445,2.362,2.057
0.0039,5.00E+07,1.249,1.608,1.803,2.564,2.524,2.448,2.364,2.057
0.004,5.00E+07,1.252,1.61,1.805,2.569,2.529,2.453,2.368,2.059
0.0041,5.00E+07,1.255,1.609,1.804,2.565,2.526,2.452,2.368,2.062
0.0042,5.00E+07,1.258,1.609,1.803,2.562,2.523,2.451,2.369,2.065
0.0043,5.00E+07,1.261,1.608,1.802,2.559,2.521,2.451,2.369,2.068
0.0044,5.00E+07,1.264,1.608,1.801,2.556,2.518,2.45,2.369,2.071
0.0045,5.00E+07,1.266,1.607,1.8,2.553,2.516,2.45,2.37,2.074
0.0046,5.00E+07,1.269,1.606,1.799,2.55,2.514,2.449,2.37,2.077
0.0047,5.00E+07,1.271,1.606,1.798,2.548,2.512,2.449,2.371,2.08
0.0048,5.00E+07,1.274,1.605,1.796,2.545,2.51,2.449,2.372,2.082
0.0049,5.00E+07,1.276,1.604,1.795,2.543,2.509,2.449,2.372,2.085
0.005,5.00E+07,1.278,1.604,1.794,2.541,2.507,2.449,2.373,2.088
0.0051,5.00E+07,1.281,1.603,1.793,2.539,2.506,2.449,2.374,2.091
0.0052,5.00E+07,1.283,1.603,1.792,2.537,2.504,2.449,2.375,2.093
0.0053,5.00E+07,1.285,1.602,1.791,2.535,2.503,2.449,2.376,2.096
0.0054,5.00E+07,1.287,1.601,1.791,2.534,2.502,2.449,2.377,2.098
0.0055,5.00E+07,1.289,1.601,1.79,2.532,2.501,2.449,2.378,2.101
0.0056,5.00E+07,1.292,1.6,1.789,2.531,2.499,2.449,2.379,2.104
0.0057,5.00E+07,1.294,1.6,1.788,2.529,2.499,2.45,2.38,2.106
0.0058,5.00E+07,1.296,1.599,1.787,2.528,2.498,2.45,2.381,2.108
0.0059,5.00E+07,1.298,1.599,1.786,2.527,2.497,2.451,2.382,2.111
0.006,5.00E+07,1.3,1.598,1.786,2.526,2.496,2.451,2.383,2.113
0.0061,5.00E+07,1.3,1.596,1.784,2.529,2.499,2.455,2.387,2.116
0.0062,5.00E+07,1.3,1.594,1.781,2.527,2.498,2.455,2.386,2.115
0.0063,5.00E+07,1.299,1.59,1.777,2.521,2.492,2.449,2.382,2.113
0.0064,5.00E+07,1.298,1.587,1.773,2.515,2.486,2.445,2.377,2.109
0.0065,5.00E+07,1.297,1.585,1.77,2.51,2.482,2.441,2.374,2.106
0.0066,5.00E+07,1.297,1.583,1.768,2.507,2.478,2.438,2.371,2.104
0.0067,5.00E+07,1.298,1.581,1.766,2.504,2.476,2.436,2.369,2.102
0.0068,5.00E+07,1.299,1.58,1.764,2.501,2.474,2.434,2.368,2.102
0.0069,5.00E+07,1.301,1.58,1.763,2.5,2.472,2.433,2.367,2.102
0.007,5.00E+07,1.303,1.58,1.763,2.499,2.471,2.433,2.367,2.103
0.0071,5.00E+07,1.305,1.58,1.762,2.498,2.471,2.434,2.368,2.105
0.0072,5.00E+07,1.307,1.58,1.762,2.499,2.472,2.434,2.369,2.107
0.0073,5.00E+07,1.31,1.581,1.763,2.499,2.473,2.436,2.371,2.109
0.0074,5.00E+07,1.314,1.582,1.764,2.5,2.474,2.438,2.373,2.112
0.0075,5.00E+07,1.317,1.583,1.764,2.502,2.476,2.44,2.377,2.117
